,X,Y,labels,corpus,value
0,8.665479,0.2907332,19,corpus/04 - intimate conversation.wav,0.15
1,8.339559,0.37407827,19,corpus/albert king cold feet.wav,0.15
2,-3.044364,0.80506134,22,corpus/alphonze mouzon you dont know how much i love you (2).wav,0.15
3,-5.0753264,-0.6069377,4,corpus/altona -  elephant walk.wav,0.15
4,9.504343,-0.5802093,17,corpus/ANDREWCYRILLE_RHYTMICALSPACE.wav,0.15
5,-1.2954342,2.1880589,14,corpus/ann alford gotta get me a job.wav,0.15
6,0.0424202,0.53899014,2,corpus/annette peacock survival.wav,0.15
7,7.6943784,0.95647514,9,corpus/ARCHIEBELL&THEDRELLS_COUNTTHEWAYS(2).wav,0.15
8,-1.0612899,1.1962274,15,corpus/assagai telephone girl.wav,0.15
9,-2.7927787,1.0053115,-1,corpus/ATTILA_HOLYMOSES.wav,0.15
10,11.693409,-2.4559646,0,corpus/AVERAGEWHITEBAND_BIGCITYLIGHTS.wav,0.15
11,-3.001016,1.3064289,-1,corpus/B-04 Branislav Zivkovic - Slow-action 2.wav,0.15
12,0.33507386,2.201839,26,corpus/b.t. express still good still like it.wav,0.15
13,-2.6737468,1.7306641,12,corpus/bad bascomb black grass.wav,0.15
14,-3.1137366,-0.11559645,-1,corpus/BADFOOTBROWN_ILOVEYOUCAMILLE.wav,0.15
15,7.32219,1.0364363,9,corpus/BALCONESFAULTLEAVEYOURHATON.wav,0.15
16,-2.894707,0.21689981,-1,corpus/BANG ON A DRUM-PLAYSCHOOL.wav,0.15
17,-1.6079847,-0.62204,23,corpus/BARBARA&ERNIE_SEARCHINGTHECIRCLE.wav,0.15
18,8.441853,0.20647663,19,corpus/BARKAYS_FREAKSHOWONTHEDANCEFLOOR.wav,0.15
19,-5.6978407,-1.0622504,25,corpus/baronvontollbooth(flowerinnight).wav,0.15
20,-5.128876,-0.5325677,4,corpus/bauger(comparedtowhat).wav,0.15
21,-5.148448,-0.5923095,4,corpus/bauger(happiness).wav,0.15
22,-2.6798487,-0.57563406,23,corpus/BEEGEESBACKHOME.wav,0.15
23,-4.87016,-1.5710557,29,corpus/BENSIDRAN_SETYOURSELFFREE.wav,0.15
24,7.3617797,0.519793,-1,corpus/BERTSOMMERONTHEOTHERSIDE.wav,0.15
25,10.482807,-1.1107577,-1,corpus/BERTSOMMERUNCLECHARLIE.wav,0.15
26,10.185208,-0.6635475,18,corpus/BETTYWRIGHT_WHEREISTHELOVE.wav,0.15
27,-1.8905426,0.6199475,-1,corpus/BIGGUNS La Gabbia.wav,0.15
28,-4.7644525,-1.5207711,-1,corpus/BILLPEARCE_IWANTJESUSTOWALKWITHME.wav,0.15
29,-2.770063,-0.96274847,23,corpus/BILLYCOBHAM_AFUNKYKINGOFTHING2.wav,0.15
30,7.745685,1.3388625,8,corpus/bird_wave.wav,0.15
31,7.5599637,1.0650157,9,corpus/BIS_GODSAVETHEQUEEN(2).wav,0.15
32,8.535762,1.01155,10,corpus/bjorn.wav,0.15
33,-5.86901,-0.9602486,25,corpus/BLACKBYRDS_DREAMIN.wav,0.15
34,-5.1740775,-1.2835467,30,corpus/BLACKICE_SHAKEDOWNPT1.wav,0.15
35,-3.7254748,-1.03191,-1,corpus/BLACKSABBATH_BEHINDTHEWALLOFSLEEP.wav,0.15
36,-4.8810015,-1.5555048,29,corpus/BLOODSTONE_EVERYBODYNEEDSLOVE.wav,0.15
37,-3.205191,-1.3694618,24,corpus/bo diddley hit or miss.wav,0.15
38,9.133638,-0.13398235,-1,corpus/bob azzam rain rain go away.wav,0.15
39,8.780847,0.14033149,20,corpus/BOBBY BYRD I KNOW YOU GOT SOUL.wav,0.15
40,-2.1986046,-0.6527435,23,corpus/BOBBYGOSH_FANCYLOVINLADY.wav,0.15
41,-1.5175605,-0.5771541,23,corpus/BODACIOUS D.F.-GOLD FOLKS.wav,0.15
42,-5.1859536,-1.3529812,30,corpus/BOOKERT&THEMG'S_BORNUNDERABADSIGN.wav,0.15
43,0.62758225,0.7099184,3,corpus/BORISGARDNER_MELTINGPOT.wav,0.15
44,7.65054,0.9427706,9,corpus/brian augers oblivion express compared to what.wav,0.15
45,11.027075,-1.7667389,-1,corpus/BRIANFERRY_ONEKISS.wav,0.15
46,-2.2140384,-0.88853616,23,corpus/BRONXRIVERPARKWAY_CHUMSPIMPAGE.wav,0.15
47,10.93674,-2.389705,-1,corpus/BTEXPRESS_DOIT.wav,0.15
48,12.058454,-2.7461865,1,corpus/BUNKY&JAKE_BUMPINMYGROOVE(MONOEDIT).wav,0.15
49,-2.4325657,1.843954,12,corpus/BUX_WHENYOURTIMEHASCOME.wav,0.15
50,11.444249,-2.3784113,0,corpus/CAFEJACQUES-AIN'TNOLOVE.wav,0.15
51,-3.1911323,-1.3035749,24,corpus/cameo rigor mortis.wav,0.15
52,-2.732887,-0.67275435,23,corpus/CAPTAINSKY_BUBBLEGUM.wav,0.15
53,11.40249,-2.3340003,0,corpus/CAPTAINSKY_TOOTSIEROCK.wav,0.15
54,-3.4897063,-0.26150745,-1,corpus/CARPENTERS_GOOFUS.wav,0.15
55,-2.54956,1.9874378,12,corpus/CCSLIVINGINTHEPAST.wav,0.15
56,8.803109,-0.49543667,7,corpus/Cecil Holmes (Soulful Sounds).wav,0.15
57,-1.1384917,2.1452532,14,corpus/CECILHOLMES_IFYOUDONTKNOWMEBYNOW.wav,0.15
58,-2.3030634,-0.17748025,-1,corpus/charlie daniels(uneasy lady).wav,0.15
59,-4.982165,-1.3063014,30,corpus/CHRISTINEMCVIE_ANDTHATSSAYINGALOT.wav,0.15
60,7.785575,1.4021293,8,corpus/cinderllalibertyostnewshooter.wav,0.15
61,-1.8472447,-1.1265217,23,corpus/clyde mcphatter mixed up cup.wav,0.15
62,-3.5225825,-1.4448429,24,corpus/coke escovedo runaway.wav,0.15
63,-2.036144,1.6089958,-1,corpus/COLD BLOOD_SHOP TALK.wav,0.15
64,5.7569356,1.6639675,6,corpus/COLDBLOODKISSINGMYLOVE.wav,0.15
65,6.768744,0.9221427,5,corpus/COMMODORES-LOVING YOU.wav,0.15
66,11.92657,-2.6272943,1,corpus/corydavegreenlight.wav,0.15
67,-3.1124501,-1.1999844,24,corpus/CRAWLER_PASTIMEDREAMER.wav,0.15
68,12.04079,-2.7287047,1,corpus/CROWNHEIGHTSAFFAIR_ITSME.wav,0.15
69,-2.374298,0.3788546,-1,corpus/CZERWONEGITARY_BYLAS.wav,0.15
70,-2.3572438,-0.045892805,-1,corpus/CZERWONEGITARY_RYTMZIEMI.wav,0.15
71,0.21752398,1.9078721,16,corpus/daddydewdropjjjhs.wav,0.15
72,-3.1115956,-0.9443284,23,corpus/DALEK1-THEWORLD.wav,0.15
73,-4.1704745,-0.9757992,28,corpus/DANDELIONWINE_HOTDOG.wav,0.15
74,-4.4606156,-1.376618,-1,corpus/DANIELAMOS_HOUNDOPFHEAVEN.wav,0.15
75,-2.298306,-0.37992197,-1,corpus/DAVEGRUSIN_CANDY_ASCENSIONTOVIRGINITY.wav,0.15
76,-1.2278992,0.28618,13,corpus/DAVID BROMBERG.wav,0.15
77,9.423011,-0.5337731,17,corpus/david oliver-what kinda woman.wav,0.15
78,-0.8901327,2.0445297,14,corpus/davidaxelrodbigbplus.wav,0.15
79,-0.66116154,1.8063325,-1,corpus/davidaxelrodtheshadowknowspt2.wav,0.15
80,-2.9891496,-0.16624446,-1,corpus/DAVIDMCALLUM_FINAL.wav,0.15
81,10.74937,-1.4001784,-1,corpus/death wish break.wav,0.15
82,-0.6296343,1.7887475,-1,corpus/DEMISROUSSOS_WHENI'MAKID.wav,0.15
83,-5.037954,-1.3978398,30,corpus/DEODATO_SEPTEMBER 13.wav,0.15
84,8.126334,0.14911057,-1,corpus/detroit emeralds youre getting a little too smart.wav,0.15
85,-5.3012156,-0.57342434,4,corpus/dexterwansel(youcanbe).wav,0.15
86,-0.31060514,0.65939754,2,corpus/don&thegoodtimes money.wav,0.15
87,10.648624,-1.4407716,-1,corpus/donaldbyrd(littlerast).wav,0.15
88,10.291413,-0.8186442,18,corpus/DOTHAT~1.wav,0.15
89,-1.4655629,0.19305395,13,corpus/DRJOHN_ONELATENIGHT.wav,0.15
90,-1.2679733,0.21546283,13,corpus/drums away.wav,0.15
91,10.345232,-1.2480735,-1,corpus/DUKEWILLIAMSANDTHEEXTREMES_CHINESECHICKEN.wav,0.15
92,-3.1198616,1.1820413,-1,corpus/dutchrobinsonallineedisyou.wav,0.15
93,9.932148,-1.0805169,-1,corpus/easy.wav,0.15
94,-5.217259,-0.61420506,4,corpus/eddiehenderson(kumquatkids).wav,0.15
95,-3.5335767,-0.26161852,-1,corpus/EDGARWINTERGROUP_DOLIKEME.wav,0.15
96,6.103879,1.4428746,6,corpus/EDWINSTARRCONTACT.wav,0.15
97,7.6268334,0.42535737,-1,corpus/EDWINSTARRWORKINGSONG.wav,0.15
98,5.8069034,1.2363425,6,corpus/ELEPHANTS MEMORY MONGOOSE.wav,0.15
99,-0.32877025,2.4527962,-1,corpus/elvis presley put your hand in the hand.wav,0.15
100,-4.2329183,-1.2466117,28,corpus/ERICDELANEY_BIGNOISEFROMWINNETKA.wav,0.15
101,-1.4226952,-0.12776154,13,corpus/ETTAJONES_FARETOHEAVEN.wav,0.15
102,-3.6746032,0.55520546,21,corpus/ezbreak1.wav,0.15
103,-1.9208956,0.59064585,-1,corpus/FANCY_FEELGOOD.wav,0.15
104,9.902873,-0.5366406,18,corpus/fannyhillaintthatpeculiar.wav,0.15
